year,fortnight_date_final,demand_deposits,time_deposits,aggregate_deposits_2+3,aggregate_deposits_2+3_adjusted,borrowings_from_rbi,liabilities_to_banks,other_demand_and_time_liabilities,investment_in_government_securities,investment_in_other_approved_securities,investments_8+9,investments_8+9_adjusted,food_credit,nonfood_credit,bank_credit_11+12,bank_credit_11+12_adjusted,cash_in_hand,balances_with_rbi,assets_with_banks
1950-51,30-Mar-51,593,290,882,-,12,-,-,-,-,-,-,-,547,547,-,35,58,-
1951-52,28-Mar-52,566,286,852,-,56,-,-,296,-,-,-,-,522,522,-,35,46,-
1952-53,27-Mar-53,522,310,832,-,19,-,-,303,-,-,-,-,529,529,-,32,43,-
1953-54,26-Mar-54,522,326,848,-,31,-,-,319,-,-,-,-,538,538,-,32,41,-
1954-55,25-Mar-55,567,375,943,-,37,-,-,344,-,-,-,-,623,623,-,32,46,-
1955-56,30-Mar-56,631,412,"1,043",-,65,-,-,360,-,-,-,-,761,761,-,36,49,-
1956-57,29-Mar-57,704,472,"1,175",-,103,-,-,347,-,-,-,-,900,900,-,34,54,-
1957-58,28-Mar-58,731,721,"1,452",-,42,-,-,440,-,-,-,-,963,963,-,37,68,-
1958-59,27-Mar-59,722,913,"1,635",-,62,-,-,613,-,-,-,-,"1,014","1,014",-,43,64,-
1959-60,25-Mar-60,781,"1,121","1,902",-,79,-,-,715,-,-,-,-,"1,128","1,128",-,62,91,-
1960-61,31-Mar-61,710,"1,026","1,736",-,95,-,75,559,-,-,-,-,"1,336","1,336",-,46,71,-
1961-62,30-Mar-62,786,"1,131","1,917",-,53,-,66,601,-,-,-,-,"1,408","1,408",-,49,75,-
1962-63,29-Mar-63,867,"1,175","2,042",-,71,-,68,593,-,-,-,-,"1,588","1,588",-,52,74,-
1963-64,27-Mar-64,"1,071","1,214","2,285",-,84,-,78,640,-,-,-,-,"1,817","1,817",-,58,89,-
1964-65,26-Mar-65,"1,239","1,344","2,583","2,583",153,-,86,718,-,-,-,-,"2,035","2,035","2,035",67,96,-
1965-66,25-Mar-66,"1,427","1,523","2,950","2,950",74,-,93,811,-,-,-,-,"2,287","2,287","2,287",73,97,-
1966-67,24-Mar-67,"1,649","1,776","3,425","3,425",140,-,116,893,-,-,-,-,"2,692","2,692","2,692",87,129,-
1967-68,22-Mar-68,"1,845","2,011","3,856","3,856",104,-,124,967,-,-,-,-,"3,032","3,032","3,032",89,132,-
1968-69,21-Mar-69,"1,934","2,404","4,338","4,338",106,-,137,"1,055",-,-,-,-,"3,396","3,396","3,396",109,166,-
